BCH-USD,BitcoinCash USD,
Date,Price,Annualized Dividend
07/23/2017,555.885986328125,0.0
07/23/2017,413.05999755859375,0.0
07/24/2017,412.5799865722656,0.0
07/24/2017,440.70098876953125,0.0
07/25/2017,441.3450012207031,0.0
07/25/2017,406.8970031738281,0.0
07/26/2017,407.0820007324219,0.0
07/26/2017,365.8160095214844,0.0
07/27/2017,417.0979919433594,0.0
07/27/2017,385.47900390625,0.0
07/28/2017,386.6470031738281,0.0
07/28/2017,406.0459899902344,0.0
07/29/2017,410.56500244140625,0.0
07/29/2017,384.77301025390625,0.0
07/30/2017,385.1400146484375,0.0
07/30/2017,345.6610107421875,0.0
07/31/2017,346.364013671875,0.0
07/31/2017,294.46099853515625,0.0
08/01/2017,294.60198974609375,0.0
08/01/2017,380.010009765625,0.0
08/02/2017,382.37701416015625,0.0
08/02/2017,452.6570129394531,0.0
08/03/2017,448.4859924316406,0.0
08/03/2017,364.0480041503906,0.0
08/04/2017,362.1830139160156,0.0
08/04/2017,233.04600524902344,0.0
08/05/2017,231.10899353027344,0.0
08/05/2017,213.14700317382812,0.0
08/06/2017,212.17599487304688,0.0
08/06/2017,220.656005859375,0.0
08/07/2017,223.75599670410156,0.0
08/07/2017,319.6889953613281,0.0
08/08/2017,321.3500061035156,0.0
08/08/2017,345.4880065917969,0.0
08/09/2017,345.2799987792969,0.0
08/09/2017,303.8909912109375,0.0
08/10/2017,305.21099853515625,0.0
08/10/2017,275.9530029296875,0.0
08/11/2017,275.8810119628906,0.0
08/11/2017,328.24200439453125,0.0
08/12/2017,327.8190002441406,0.0
08/12/2017,317.09100341796875,0.0
08/13/2017,316.2860107421875,0.0
08/13/2017,298.0530090332031,0.0
08/14/2017,296.0979919433594,0.0
08/14/2017,297.6780090332031,0.0
08/15/2017,298.18499755859375,0.0
08/15/2017,297.864013671875,0.0
08/16/2017,297.9700012207031,0.0
08/16/2017,300.2099914550781,0.0
08/17/2017,301.02099609375,0.0
08/17/2017,460.5299987792969,0.0
08/18/2017,458.6700134277344,0.0
08/18/2017,690.239990234375,0.0
08/19/2017,697.0440063476562,0.0
08/19/2017,754.5579833984375,0.0
08/20/2017,772.4180297851562,0.0
08/20/2017,712.8729858398438,0.0
08/21/2017,723.7009887695312,0.0
08/21/2017,599.635009765625,0.0
08/22/2017,596.1939697265625,0.0
08/22/2017,690.8829956054688,0.0
08/23/2017,690.9600219726562,0.0
08/23/2017,669.4000244140625,0.0
08/24/2017,670.0280151367188,0.0
08/24/2017,628.1090087890625,0.0
08/25/2017,627.06298828125,0.0
08/25/2017,641.0549926757812,0.0
08/26/2017,641.8820190429688,0.0
08/26/2017,625.3209838867188,0.0
08/27/2017,625.8920288085938,0.0
08/27/2017,620.89599609375,0.0
08/28/2017,619.697998046875,0.0
08/28/2017,596.177001953125,0.0
08/29/2017,596.1300048828125,0.0
08/29/2017,552.927001953125,0.0
08/30/2017,549.3159790039062,0.0
08/30/2017,575.2069702148438,0.0
08/31/2017,576.2509765625,0.0
08/31/2017,588.1729736328125,0.0
09/01/2017,588.3980102539062,0.0
09/01/2017,622.1680297851562,0.0
09/02/2017,621.9630126953125,0.0
09/02/2017,575.9019775390625,0.0
09/03/2017,578.2659912109375,0.0
09/03/2017,607.4329833984375,0.0
09/04/2017,608.260986328125,0.0
09/04/2017,517.2429809570312,0.0
09/05/2017,514.9039916992188,0.0
09/05/2017,541.7130126953125,0.0
09/06/2017,541.281982421875,0.0
09/06/2017,638.177978515625,0.0
09/07/2017,636.8460083007812,0.0
09/07/2017,652.85498046875,0.0
09/08/2017,654.3729858398438,0.0
09/08/2017,583.0980224609375,0.0
09/09/2017,584.72802734375,0.0
09/09/2017,547.4710083007812,0.0
09/10/2017,546.4749755859375,0.0
09/10/2017,537.0670166015625,0.0
09/11/2017,537.18701171875,0.0
09/11/2017,537.8099975585938,0.0
09/12/2017,539.0260009765625,0.0
09/12/2017,510.406005859375,0.0
09/13/2017,509.4679870605469,0.0
09/13/2017,503.6050109863281,0.0
09/14/2017,504.22198486328125,0.0
09/14/2017,367.0409851074219,0.0
09/15/2017,369.4930114746094,0.0
09/15/2017,424.02099609375,0.0
09/16/2017,424.48699951171875,0.0
09/16/2017,440.218994140625,0.0
09/17/2017,438.89801025390625,0.0
09/17/2017,419.864013671875,0.0
09/18/2017,422.0880126953125,0.0
09/18/2017,479.3169860839844,0.0
09/19/2017,480.63800048828125,0.0
